Spring,Sample,D1_ecoli,D1_coliforms,D1_visitors,D1_weather,D1_waterTemp,D1_rain,D2_ecoli,D2_coliforms,D2_visitors,D2_weather,D2_waterTemp,D2_rain,D3_ecoli,D3_coliforms,D3_visitors,D3_weather,D3_waterTemp,D3_rain,total_ecoli,total_coliforms,total_visitors,average_waterTemp,total_rain
Spring1,A,0,58,0,1,27,1,0,118,0,2,28,1,0,35,0,2,28,0,0,575,0,27.66666667,2
Spring1,B,0,56,0,1,27,1,0,92,0,2,28,1,0,30,0,2,28,0,0,575,0,27.66666667,2
Spring1,C,0,62,0,1,27,1,0,87,0,2,28,1,0,37,0,2,28,0,0,575,0,27.66666667,2
Spring2,A,2,68,5,3,28,0,1,60,1,2,29,1,1,21,0,2,29,0,7,383,6,28.66666667,1
Spring2,B,1,50,5,3,28,0,0,49,1,2,29,1,0,14,0,2,29,0,7,383,6,28.66666667,1
Spring2,C,1,53,5,3,28,0,1,40,1,2,29,1,0,28,0,2,29,0,7,383,6,28.66666667,1
Spring3,A,1,11,32,3,20,0,1,9,71,2,20,1,0,1,10,2,20,0,3,40,113,20,1
Spring3,B,0,5,32,3,20,0,0,5,71,2,20,1,0,1,10,2,20,0,3,40,113,20,1
Spring3,C,0,1,32,3,20,0,0,4,71,2,20,1,1,3,10,2,20,0,3,40,113,20,1
Spring4,A,2,34,13,3,27,0,5,65,2,2,28,1,1,49,2,2,28,0,27,411,17,27.66666667,1
Spring4,B,3,48,13,3,27,0,5,61,2,2,28,1,2,40,2,2,28,0,27,411,17,27.66666667,1
Spring4,C,1,35,13,3,27,0,8,64,2,2,28,1,0,15,2,2,28,0,27,411,17,27.66666667,1
Spring5,A,0,0,3,3,22,0,0,0,1,2,20,1,0,1,1,2,20,0,0,1,5,20.66666667,1
Spring5,B,0,0,3,3,22,0,0,0,1,2,20,1,0,0,1,2,20,0,0,1,5,20.66666667,1
Spring5,C,0,0,3,3,22,0,0,0,1,2,20,1,0,0,1,2,20,0,0,1,5,20.66666667,1
